Prueba,Eje x,Eje y,Eje z
630,-9.89,2.26,-31.98
631,-10.07,4.27,-36.07
632,-8.67,4.82,-40.1
633,-8.97,4.52,-44.31
634,-10.8,4.82,-48.83
635,-14.53,6.53,-52.43
636,-24.41,10.19,-54.44
637,-36.07,12.51,-56.82
638,-43.76,13.67,-59.88
639,-47.3,13.43,-63.96
640,-43.09,13.55,-69.64
641,-33.87,14.1,-76.66
642,-29.91,14.28,-83.37
643,-30.03,14.34,-87.34
644,-30.7,14.89,-88.07
645,-30.88,15.75,-87.28
646,-29.6,16.66,-86.61
647,-28.08,17.4,-86.85
648,-31.25,18.49,-87.77
649,-36.07,19.78,-90.21
650,-43.76,21.18,-93.87
651,-51.33,22.71,-99.06
652,-58.17,23.19,-104.49
653,-69.4,23.32,-108.76
654,-83.74,22.58,-110.66
655,-90.82,20.39,-111.76
656,-90.03,17.52,-111.21
657,-69.95,13.37,-108.83
658,-31.92,8.42,-108.03
659,2.87,5.92,-111.88
660,13.12,6.84,-117.74
661,-6.29,9.58,-119.51
662,-34.48,11.9,-115.72
663,-57.56,13.31,-111.08
664,-72.69,13.49,-109.92
665,-75.32,11.84,-114.01
666,-65.8,8.3,-122.62
667,-50.35,5.13,-132.45
668,-37.11,3.05,-141.05
669,-30.4,2.2,-147.64
670,-26.98,1.83,-151.55
671,-21.12,1.22,-152.65
672,-14.65,1.16,-151.18
673,-13.73,2.2,-148.62
674,-19.35,3.05,-146.36
675,-26.55,4.33,-144.23
676,-33.08,5.68,-142.76
677,-36.68,6.59,-142.7
678,-37.84,6.53,-143.43
679,-41.02,5.0,-143.07
680,-47.97,1.65,-141.24
681,-52.86,-3.36,-139.53
682,-52.0,-8.12,-138.49
683,-51.15,-11.17,-137.02
684,-47.42,-11.41,-132.75
685,-37.96,-10.07,-127.69
686,-27.28,-7.81,-122.62
687,-20.32,-6.84,-119.26
688,-24.54,-7.39,-117.31
689,-27.16,-10.74,-117.92
690,-28.26,-14.95,-119.93
691,-28.69,-18.13,-122.19
692,-27.04,-20.2,-124.02
693,-27.53,-20.94,-123.96
694,-32.71,-20.69,-120.97
695,-47.06,-18.86,-115.66
696,-65.92,-15.38,-109.56
697,-73.06,-12.76,-105.41
698,-57.5,-12.39,-105.59
699,-33.63,-14.1,-109.8
700,-17.46,-14.95,-114.93
701,-17.03,-17.15,-117.61
702,-14.71,-14.95,-118.53
703,-16.11,-8.85,-115.91
704,-26.06,-1.1,-109.37
705,-39.18,4.21,-101.99
706,-52.37,6.59,-95.83
707,-63.48,3.78,-91.25
708,-71.41,-2.56,-88.81
709,-73.12,-7.93,-87.46
710,-71.72,-11.47,-85.51
711,-76.23,-11.66,-82.52
712,-73.18,-10.56,-82.03
713,-56.7,-9.7,-84.17
714,-45.84,-7.51,-84.72
715,-43.03,-6.35,-82.28
716,-44.56,-4.88,-76.78
717,-48.89,-3.6,-70.25
718,-53.53,-3.85,-64.39
719,-56.09,-5.19,-60.55
720,-52.37,-7.2,-57.74
721,-41.26,-10.13,-54.93
722,-28.26,-12.15,-49.68
723,-23.13,-12.27,-41.63
724,-20.57,-10.8,-32.23
725,-20.69,-7.39,-23.01
726,-21.67,-3.11,-13.0
727,-19.53,0.79,-2.2
728,-16.78,3.91,11.41
729,-21.0,6.04,26.73
730,-20.69,6.84,40.59
731,-12.39,5.74,51.45
732,-5.07,2.87,59.63
733,2.99,0.06,66.53
734,9.22,-1.34,73.06
735,13.12,-0.92,80.26
736,20.57,0.98,88.13
737,25.51,3.78,97.17
738,27.28,6.16,105.71
739,30.82,8.42,112.85
740,35.1,10.38,118.77
741,35.52,11.66,123.78
742,31.13,13.12,129.33
743,16.78,15.69,136.9
744,7.51,17.46,143.62
745,14.71,18.01,147.83
746,24.23,18.25,151.31
747,31.86,19.59,155.21
748,40.59,22.16,159.91
749,53.71,25.33,166.14
750,66.53,29.66,175.05
751,74.58,34.67,185.36
752,75.26,40.1,195.37
753,73.12,44.37,203.86
754,72.2,46.08,208.44
755,66.28,47.79,209.05
756,59.51,49.99,205.81
757,53.53,52.25,202.15
758,54.08,54.69,198.06
759,58.11,55.73,195.07
760,59.81,54.99,193.66
761,65.67,52.12,192.32
762,82.28,46.69,191.28
763,96.25,42.97,193.24
764,97.23,41.02,195.92
765,87.04,39.98,196.96
766,74.34,39.31,196.84
767,70.13,38.45,197.02
768,77.15,37.17,195.74
769,87.1,36.44,192.14
770,96.68,33.69,185.85
771,113.28,29.36,178.41
772,123.96,27.04,175.66
773,125.18,25.88,178.59
774,113.4,26.18,185.36
775,93.02,28.02,192.38
776,76.11,28.26,195.13
777,56.27,25.7,192.75
778,46.26,19.84,182.98
779,62.56,15.38,166.2
780,90.76,14.04,149.84
781,109.01,14.16,139.34
782,113.71,15.32,136.84
783,109.31,17.52,141.11
784,98.63,16.91,147.71
785,94.06,13.43,152.71
786,98.27,11.23,151.18
787,100.77,10.99,146.48
788,88.99,11.6,140.5
789,70.25,10.74,132.2
790,70.86,8.67,120.97
791,99.37,18.07,106.14
792,127.14,23.13,95.46
793,117.49,4.33,101.26
794,89.84,-6.47,107.12
795,68.66,-11.05,109.68
796,61.89,-15.32,109.25
797,58.96,-20.26,106.93
798,58.78,-24.96,102.42
799,65.73,-26.86,93.08
800,77.51,-29.66,80.81
801,88.07,-31.62,69.76
802,88.01,-31.74,61.1
803,81.24,-31.8,58.53
804,71.84,-33.81,62.32
805,66.89,-36.5,68.36
806,69.4,-38.09,71.66
807,69.76,-41.14,73.67
